N Time Angle(rd) Wz(rd/s)
223 123220390 0.0597578 0.0760858
224 123768060 0.138243 0.176016
225 124318579 -0.54172 -0.689738
226 124843442 -0.803578 -1.02314
227 125415530 -0.927295 -1.18067
228 125988858 -0.873664 -1.11238
229 126607015 -0.780993 -0.994389
230 127230283 -0.635027 -0.808539
231 127830701 -0.290599 -0.370001
232 128399610 -0.134771 -0.171596
233 128926073 0.112566 0.143323
234 129459688 0.282809 0.360083
235 130000760 0.381979 0.48635
236 130538360 0.393587 0.501129
237 131056701 0.422149 0.537495
238 131571654 0.375961 0.478687
239 132103375 0.288975 0.367934
240 132648067 0.277161 0.352891
241 133159923 0.195737 0.24922
242 133681326 0.108661 0.138351
243 134190790 0.0180161 0.0229387
244 134697461 0 0
245 135248230 0 0
246 135745663 -0.0530475 -0.0675421
247 136226730 -0.0688565 -0.0876706
248 136770897 -0.0700606 -0.0892037
249 137273102 -0.0801848 -0.102094
250 137795007 -0.0525831 -0.0669507
251 138312611 -0.0767719 -0.0977488
252 138813746 -0.0521266 -0.0663696
253 139315545 -0.0682698 -0.0869236
254 139805902 -0.0706785 -0.0899905
255 140302048 -0.0592526 -0.0754426
256 140806537 -0.0525831 -0.0669507
257 141314291 -0.0823819 -0.104892
258 141795223 -0.0512372 -0.065237
259 142311539 -0.0366808 -0.0467033
260 142816928 -0.0906599 -0.115431
261 143328122 -0.0700606 -0.0892037
262 143812508 -0.0607946 -0.0774059
263 144310500 -0.0682698 -0.0869236
264 144786819 -0.0890496 -0.113381
265 145304326 -0.0353835 -0.0450515
266 145810559 -0.0624188 -0.0794739
267 146295945 -0.0700606 -0.0892037
268 146778867 -0.0607946 -0.0774059
269 147266540 -0.0725994 -0.0924363
270 147791681 -0.0363476 -0.0462791
271 148286077 -0.0635507 -0.080915
272 148770795 -0.0190453 -0.0242492
273 149279566 -0.0363476 -0.0462791
274 149780541 -0.0347686 -0.0442686
275 150291517 -0.0336008 -0.0427818
276 150801599 -0.0388154 -0.0494212
277 151290948 -0.0427091 -0.0543787
278 151799451 -0.0344691 -0.0438873
279 152288423 -0.0516781 -0.0657984
280 152853052 0 0
281 153374524 -0.0176973 -0.0225328
282 153865362 -0.0641321 -0.0816554
