#N Time vx wz 
566 260000 0.2 0
567 260000 0.2 0
568 260000 0.2 0
569 260000 0.2 0
570 260000 0.2 0
571 260000 0.2 0
572 260000 0.2 0
573 260000 0.2 0
574 260000 0.2 0
575 260000 0.2 0
576 260000 0.2 0
577 260000 0.2 0
578 260000 0.2 0
579 260000 0.2 0
580 260000 0.2 0
581 260000 0.2 0
582 260000 0.2 0
583 260000 0.2 0
584 260000 0.2 0
585 260000 0.2 0
586 260000 0.2 0
587 260000 0.2 0
588 260000 0.2 0
589 260000 0.2 0
590 260000 0.2 0
591 260000 0.2 0
592 260000 0.2 0
593 260000 0.2 0
594 260000 0.2 0
595 260000 0.2 0
596 260000 0.2 0
597 260000 0.2 0
598 260000 0.2 0
599 260000 0.2 0
600 260000 0.2 0
601 260000 0.2 0
602 260000 0.2 0
603 260000 0.2 0
604 260000 0.2 0
605 270000 0.2 0
606 270000 0.2 0
607 270000 0.2 0
608 270000 0.2 0
609 270000 0.2 0
610 270000 0.2 0
611 270000 0.2 0
612 270000 0.2 0
613 270000 0.2 0
614 270000 0.2 0
615 270000 0.2 0
616 270000 0.2 0
617 270000 0.2 0
618 270000 0.2 0
619 270000 0.2 0
620 270000 0.2 0
621 270000 0.2 0
622 270000 0.2 0
623 270000 0.2 0
624 270000 0.2 0
625 270000 0.2 0
626 270000 0.2 0
627 270000 0.2 0
628 270000 0.2 0
629 270000 0.2 0
630 270000 0.2 0
631 270000 0.2 0
632 270000 0.2 0
633 280000 0.2 0
634 280000 0.2 0
635 280000 0.2 0
636 280000 0.2 0
637 280000 0.2 0
638 280000 0.2 0
639 280000 0.2 0
640 280000 0.2 0
641 280000 0.2 0
642 280000 0.2 0
643 280000 0.2 0
644 280000 0 0
645 280000 0 0
646 280000 0 0
647 290000 0 0
648 290000 0 0
649 290000 0 0
650 290000 0 0
651 290000 0 0
652 290000 0 0
653 290000 0 0
654 290000 0 0
655 290000 0 0
656 290000 0 0
657 290000 0 0
658 290000 0 0
659 290000 0 0
660 290000 0 0
661 290000 0 0
662 290000 0 0
663 290000 0 0
664 290000 0 0
665 290000 0 0
666 290000 0 0
667 290000 0 0
668 290000 0 0
669 290000 0 0
670 290000 0 0
671 300000 0 0
672 300000 0 0
673 300000 0 0
674 300000 0 0
675 300000 0 0
676 300000 0 0
677 300000 0 0
678 300000 0 0
679 300000 0 0
680 300000 0 0
681 300000 0 0
682 300000 0 0
683 300000 0 0
684 300000 0 0
685 300000 0 0
686 300000 0 0
687 300000 0 0
688 310000 0 0
689 310000 0 0
690 310000 0 0
691 310000 0 0
692 310000 0 0
693 310000 0 0
694 310000 0 0
695 310000 0 0
696 310000 0 0
697 310000 0 0
698 310000 0 0
699 310000 0 0
700 310000 0 0
701 310000 0 0
702 310000 0 0
703 310000 0 0
704 310000 0 0
705 310000 0 0
706 310000 0 0
707 310000 0 0
708 320000 0 0
709 320000 0 0
710 320000 0 0
711 320000 0 0
712 320000 0 0
713 320000 0 0
714 320000 0 0
715 320000 0 0
716 320000 0 0
717 320000 0 0
718 320000 0 0
719 320000 0 0
720 320000 0 0
721 320000 0 0
722 320000 0 0
723 320000 0 0
724 320000 0 0
725 320000 0 0
726 320000 0 0
727 320000 0 0
728 320000 0 0
729 320000 0 0
730 320000 0 0
731 320000 0 0
732 320000 0 0
